topic,size,silhouette,npmi,top_words
0,1057,0.05,0.302,ايران ترمب الحرب هرمز الامريكي مضيق الامريكية المتحدة الولايات الايرانية
1,230,0.087,0.227,اسرائيل ايران الاسرائيلية طهران الايرانية ابيب الايراني صواريخ الصواريخ تل
2,220,0.126,0.364,لبنان الله الاسرائيلي حزب الجيش اسرائيل اسرائيلية الاسرائيلية اللبنانية بلدة
3,143,0.098,0.222,غزة القطاع قطاع الاحتلال النار الاول الف الاسرائيلي اطلاق اكثر
4,108,0.201,0.334,مسيرة الدفاع وزارة اعتراض الكويت الهجمات صاروخا البحرين دول السعودية
5,99,0.072,0.384,مالي عام افريقيا باماكو كيدال الرئيس الافريقي البلاد ازواد كامارا
6,84,0.045,0.52,السورية سوريا السوري الاسد دمشق الشرع العدالة يوسف الانتقالية التضامن
7,83,0.136,0.337,لاريجاني الايراني خامنئي المرشد مجتبي الثوري الاعلي ايران الحرس النظام
8,80,0.182,0.379,لبنان الله اسرائيل اللبنانية النار وقف حزب اللبناني اطلاق عون
9,78,0.18,0.387,قطر المنطقة دولة امير القطرية بن الشيخ القطري الخارجية ثاني
10,72,0.106,0.393,السودان السريع الدعم السوداني دارفور قوات السودانية الانسانية شخص مليون
11,67,0.06,0.141,كوبا الهجرة ترمب الامريكية الرئيس مادورو المتحدة الولايات ادارة المحكمة
12,67,0.178,0.561,اوكرانيا روسيا الروسية الاوكرانية زيلينسكي الاوكراني كييف الروسي مسيرة موسكو
13,67,0.156,0.475,العراق العراقية بغداد الشعبي السفارة الحشد الامريكية الفصائل عراقية اربيل
14,62,0.15,0.544,الاسري القانون الفلسطينيين الاعدام اعدام قانون السجون الاحتلال الكنيست عقوبة
15,54,0.16,0.417,الضفة الاحتلال الغربية المستوطنين الفلسطينية القدس قوات اعتداءات فلسطينية الفلسطينيين
16,51,-0.014,0.055,اسرائيل الشرطة الاتحاد لندن الاوروبي اسبانيا البريطانية الشراكة الاسرائيلية شرطة
17,50,0.22,0.491,الاقصي المسجد القدس الاحتلال المصلين صلاة اغلاق الصلاة القيامة عيد
18,49,0.172,0.358,الطيار الطائرة اف طائرة انقاذ الامريكية طراز مقاتلة اسقاط امريكية
19,32,0.119,0.144,نتنياهو رئيس اسرائيل الاسرائيلي الوزراء ايران بينيت الحرب هرتسوغ حزب
